Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
87,0,140.098282,-80.274567,6.501648,39.274845,-21.437050,57.283100,89.250954,-130.780273,9.204370,-7.195237,22.932211,53.910625,-32.292198,47.885208,36.589062,,,
88,0,140.098450,-80.274734,6.500987,39.255974,-21.424562,57.272408,89.324013,-130.866409,9.157246,-7.194976,22.933897,53.904621,-32.284973,47.866589,36.569298,,,
89,0,140.100342,-80.255669,6.503591,39.247887,-21.402073,57.264889,89.387283,-130.941956,9.092979,-7.192370,22.933241,53.904572,-32.285244,47.864948,36.585358,,,
90,0,140.107758,-80.238350,6.523769,39.224594,-21.438501,57.281498,89.300247,-130.840225,9.043058,-7.200201,22.934704,53.885181,-32.289379,47.872017,36.549709,,,
91,0,140.085129,-80.270195,6.513195,39.244736,-21.437626,57.292492,89.190498,-130.800598,9.145033,-7.194657,22.934795,53.892185,-32.285831,47.877815,36.556187,,,
92,0,140.122269,-80.266235,6.558787,39.226784,-21.440973,57.303112,89.220825,-130.857254,9.150010,-7.192964,22.933205,53.930759,-32.291336,47.857021,36.598282,,,
93,0,140.129868,-80.250549,6.579319,39.237331,-21.455406,57.311512,89.282829,-130.828049,9.149490,-7.174960,22.935032,53.935196,-32.316486,47.864532,36.600471,,,
94,0,140.130203,-80.251358,6.580638,39.240898,-21.457302,57.302040,89.204247,-130.801239,9.118749,-7.177207,22.937445,53.920616,-32.312107,47.850178,36.578167,,,
95,0,140.123047,-80.266701,6.560293,39.267017,-21.431322,57.294380,89.108345,-130.785858,9.135256,-7.164602,22.928608,53.912289,-32.321930,47.860764,36.578808,,,
96,0,140.138977,-80.275917,6.559333,39.264252,-21.408964,57.310402,89.271469,-130.791290,9.156737,-7.164495,22.971245,53.920509,-32.301640,47.848911,36.583797,,,
97,0,140.130081,-80.249954,6.578771,39.266304,-21.414600,57.308941,89.293747,-130.864044,9.142941,-7.185992,22.963425,53.918217,-32.288986,47.813145,36.598003,,,
98,0,140.129990,-80.249641,6.579324,39.274632,-21.399988,57.301796,89.395378,-130.884995,9.128519,-7.185638,22.946712,53.914562,-32.292400,47.844223,36.595692,,,
99,0,140.126495,-80.237015,6.575197,39.229546,-21.446289,57.296516,89.367775,-130.849838,9.103436,-7.194127,22.947697,53.912563,-32.302204,47.834492,36.566360,,,
100,0,140.126740,-80.237900,6.575695,39.261631,-21.414434,57.302242,89.407120,-130.881561,9.169878,-7.183958,22.931694,53.919617,-32.267956,47.862919,36.579124,,,
101,0,140.128235,-80.237923,6.576994,39.248230,-21.432270,57.294636,89.334137,-130.815063,9.121033,-7.179947,22.938448,53.931782,-32.323975,47.850002,36.594440,,,
102,0,140.146576,-80.238220,6.571990,39.240753,-21.430851,57.294788,89.293274,-130.774704,9.171635,-7.175786,22.947561,53.909237,-32.308346,47.840988,36.590290,,,
103,0,140.129410,-80.237953,6.556816,39.270432,-21.423351,57.312206,89.354416,-130.800369,9.198456,-7.162033,22.956556,53.899117,-32.309616,47.864292,36.582294,,,
104,0,140.131439,-80.239777,6.558828,39.253529,-21.426445,57.295990,89.329941,-130.877441,9.192787,-7.180689,22.942223,53.898285,-32.291824,47.853039,36.590912,,,
105,0,140.147324,-80.230858,6.580643,39.240616,-21.427423,57.297016,89.370323,-130.838196,9.226183,-7.182885,22.958593,53.897682,-32.294018,47.849129,36.591335,,,
